Contour 61:

592, 625
592, 624
590, 622
589, 622
588, 621
588, 614
589, 613
605, 613
606, 614
608, 614
609, 615
610, 615
611, 616
617, 616
618, 617
618, 619
619, 620
621, 620
622, 621
622, 623
633, 623
635, 621
635, 620
636, 619
646, 619
647, 618
650, 618
650, 613
651, 612
652, 612
652, 609
653, 608
653, 606
654, 605
656, 605
658, 603
666, 603
667, 602
668, 602
670, 600
670, 598
671, 597
677, 597
679, 595
687, 595
688, 594
700, 594
703, 591
704, 591
705, 590
708, 590
710, 588
712, 588
712, 583
714, 581
715, 581
716, 580
716, 578
717, 577
720, 577
720, 575
721, 574
724, 574
724, 571
726, 569
726, 566
727, 565
734, 565
735, 566
735, 567
736, 566
736, 564
735, 563
735, 557
733, 557
732, 556
732, 544
733, 543
734, 543
734, 537
735, 536
735, 532
734, 532
733, 531
733, 529
731, 529
730, 528
730, 525
729, 525
728, 524
728, 523
726, 523
724, 521
724, 515
725, 514
727, 514
725, 512
725, 510
718, 510
717, 509
717, 507
716, 506
716, 505
715, 505
714, 504
714, 503
711, 500
711, 498
709, 496
709, 493
708, 493
707, 492
707, 491
705, 491
704, 490
704, 489
702, 489
701, 488
701, 487
700, 487
699, 486
699, 485
697, 483
695, 483
694, 482
693, 482
691, 480
690, 481
684, 481
683, 480
680, 480
679, 479
679, 476
678, 475
676, 475
675, 474
675, 472
670, 472
669, 471
668, 471
667, 470
667, 469
666, 470
660, 470
658, 472
655, 472
654, 473
653, 473
652, 474
651, 474
651, 475
649, 477
648, 477
647, 478
646, 478
646, 480
645, 481
642, 481
641, 482
641, 483
639, 485
637, 485
636, 486
633, 486
632, 487
628, 487
627, 488
619, 488
618, 487
614, 487
613, 488
612, 488
611, 489
609, 489
607, 491
604, 491
603, 492
603, 493
602, 494
599, 494
598, 495
597, 495
596, 496
595, 496
595, 497
594, 498
593, 498
593, 499
591, 501
588, 501
587, 502
582, 502
581, 503
581, 504
580, 505
579, 505
579, 513
578, 514
578, 518
579, 519
579, 530
578, 531
570, 531
570, 541
569, 542
568, 542
568, 544
567, 545
565, 545
564, 546
